"","comicName","comicSummary","comicGrade"
"56","나를죽이는방법","지워낼수 없는 후회","9.84"
"57","두꺼비집","가출청소년공포스릴러","9.80"
"58","그림자게임","그림자게임 3 시작","9.86"
"59","그리고이로써차차","간판 만들어드립니다","8.80"
"60","소라비의잡화점","#남장여자","9.76"
"61","잔액이부족합니다","대중교통 일상툰","9.90"
"62","낯가리는관종","낯가리는 관종일기","9.82"
"63","생산직툰","생산직 4컷 만화","9.78"
"64","대학원탈출일지","대학원에서 살아남기","9.90"
"65","젤라유니버스","안젤라 일대기","9.86"
"66","주름진사장님","노안 사장님의이야기","9.51"
"67","무선혜드셋정보툰!!","잡상식을 재미있게","9.88"
"68","몽글툰","백수돼지는 게임중","9.74"
"69","방에콕!진댕","방에 콕! 일상툰","9.87"
"70","백온더트랙","서른의 우리에게","9.15"
"71","과학고생존일지","과학고에 간 문과생","9.77"
"72","체리블러드","액션X판타지X로맨스","9.52"
"73","꿀꾸리?꿈꾸리!","중학생 꾸리일기-","8.57"
"74","일상견문록","다른나라 일상이야기","9.84"
"75","곰의딸","소녀의 모험","9.46"
"76","그들의사정","얽히고 설킨 그들","9.20"
"77","스물여섯","혼자 할 수 있어!","9.47"
"78","고란툰","고란이의 일상이야기","8.21"
"79","감각의어빌러티","특이한친구들의능력은","9.88"
"80","함께할때까지","곰신바카","9.64"
"81","로그아일","판타지 생존기","9.65"
"82","30일의시간여행","응답하라!80-90","9.32"
"83","하루의하늘","삼각관계 대학생활","9.53"
"84","미용사:LOSTHERO","전직용사현직미용사!","9.72"
"85","봉산코믹스","비극과희극 단편선","9.79"
"86","매그니피센트","위대한 우리들","9.76"
"87","굥이의하루","굥이의 하루","9.66"
"88","매지컬팡","명랑만화 매지컬팡","9.83"
"89","구나의그랬구나","어린이집 교사냥이","9.90"
"90","재테크는스크루지","초보자용 재테크웹툰","9.79"
"91","사쟈툰","사쟈를 그립니다.","8.69"
"92","당할연","당신도할수있다연애","7.80"
"93","지극히평범한생활","말만 평범한 일상툰","9.90"
"94","너와나의하늘색","웹툰창작 청춘로맨스","9.64"
"95","어둠의일상툰","어둠의 일상","9.67"
"96","짜이타임","부부 고양이 일상툰","9.86"
"97","타챠노트","프리랜서일기","9.79"
"98","158동진상부부","부부의 진짜 일상","9.34"
"99","프라이머리컬러","게임회사 입사꿀팁!","9.76"
"100","집순이에대하여","집순이들의 일상","9.72"
"101","쿤도덥브라더스","개와 고양이의 동거","9.88"
"102","깜빡깜빡","반짝이의 일상","9.89"
"103","범고래아가씨","달달한 연애생활","9.70"
"104","띵동!도토리에요","너튜브하는 마법사","9.59"
"105","여긴불빛이안드는곳이야","학교 로맨스 코미디","9.79"
"106","국밥소녀","국밥에 미친 소녀","8.36"
"107","궁미일기","평범한 일상 육아","9.72"
"108","오늘도분홍했분홍","일상힐링툰","9.86"
"109","대공녀는거기에없었다","가상중세시대물","9.69"
"110","당신의쓸모","우리는 식물성이야!","9.51"
"111","휴지통","잔부스러기같은 행복","9.87"
"112","니사정내사정","모든일엔 이유가있다","9.13"
"113","클로버신드롬","능력자 학교 이야기","9.56"
"114","이데아프로젝트","능력자 판타지","9.83"
"115","몬스터커맨더F","몬스터 판타지","9.87"
"116","슬픔을먹는남자","성장물,감성,판타지","9.89"
"117","올어바웃You","귀염뽀짝 국제연애툰","9.83"
"118","생존일지","사람들의 이야기","9.85"
"119","숲속의성","허기, 혹은 사랑","9.87"
"120","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"121","도곰보와친구들","이상한 개그물","8.68"
"122","딴짓이제일재밌어","딴 짓 찾아 놀기","9.44"
"123","500원토끼","500원토끼의 일상","9.71"
"124","계약인싸","계약직 인싸","8.58"
"125","외국in한국","영국인의한국생활","9.87"
"126","오픈오전11시","홍대 라이프","9.62"
"127","거울속에비친유령","그 집에 얽힌 소문","9.72"
"128","이석의맨숀","매주 일요일 연재","9.32"
"129","이래봬도0학년","초등학교 이야기!","9.72"
"130","악귀의메아리","괴의허다 괴의혀~","9.68"
"131","칠흑","심연의 그림자","9.25"
"132","템플러","퇴마물 엑소시스트","9.46"
"133","새벽의아이","미아들의 생존일지","9.65"
"134","나를찾아줘","소소한 의사 이야기","8.18"
"135","은하!","정 식 연 재","9.88"
"136","LADS'PARTY","판타지 액션","9.77"
"137","덩키파티","머저리들의 모험담","9.75"
"138","아오링도쿄","도쿄 시트콤","9.88"
"139","열쇠의용사카이제루스","합체 준비 됐습니까","9.68"
"140","위닝샷!","청춘 야구 드라마","9.77"
"141","우리카페사장님이이상하다","이상한 카페 알바기","9.91"
"142","포로롱포롱","수인들의 학교생활","9.86"
"143","소극적인간","드라마 스릴러","9.65"
"144","우당탕입큰이","입이 커 슬픈 짐승","9.54"
"145","이세계국밥마스터","그 돈이면 국밥먹지","9.56"
"146","눈치없는내친구!","청춘 캠퍼스 개그물","9.80"
"147","닐리리맘봉","맘봉이의 하루하루","9.89"
"148","여우자매","구미호 이야기","9.90"
"149","[BL]HOLYJUNK","두 사람의 삶","9.54"
"150","자작보드게임동아리","자작 보드게임 만화","9.78"
"151","소피아가머리카락을쓸어넘길때","학원 일상 추리","9.90"
"152","서유신마록","삼장과오공의대모험극","9.59"
"153","질주","초능력 판타지","9.61"
"154","사장님은떡뽀끼!","분식집 일상물","9.67"
"155","드래곤메이커","용키우는만화","9.88"
"156","판타지TV","판타지 인터넷방송","9.67"
"157","기억속너에게","메르와 루의 이야기","8.87"
"158","손안의너","정체불명 미니사이즈","9.87"
"159","아틀레냐비바체","치유계 개그물","9.86"
"160","이승전결","영적장애 저승사자","9.57"
"161","홈스윗홈","네식구 사는 이야기","9.85"
"162","픽셔너","그들의 이상한 일상","9.64"
"163","의대생하루","의대생의 리얼 일상","9.12"
"164","여름에내리는서리","2025.08.28","9.09"
"165","아타나시아","마법과 불사","9.61"
"166","좀비랜드","좀비랜드 탈출기","9.60"
"167","치즈범벅","치즈고양이형제 일상","9.84"
"168","미치광이맥","심부름꾼의 이야기","9.76"
"169","전지적덕후시점","나의 덕질 라이프","9.65"
"170","빨간맛로맨스","미치도록 달콤한","9.87"
"171","식봉툰","일상적인 이야기","8.72"
"172","리드래프트","야구에 만약이있다면","9.85"
"173","만화임진왜란","쉽고 웃긴 임진왜란","9.76"
"174","불손한친구들","불손한친구들 이야기","9.72"
"175","케어시트","청춘 동아리 로맨스","9.57"
"176","괜찮아,고3이야","너와나의 리얼고3툰","9.90"
"177","전송","살아있을까","9.22"
"178","베이퍼정키스","퓨처 느와르","9.34"
"179","우리는친한친구","친한친구 이야기","9.34"
"180","미친꽃은답도없다","로판 / 자유연재","9.75"
"181","주짓수와고양이","주짓수에 빠진 집사","9.70"
"182","이상한사무실","디자인 회사 이야기","9.49"
"183","오늘도그래고래","힐링 미스터리 웹툰","9.82"
"184","일요극장","아마도 일상 판타지","9.84"
"185","느린한끼","요리 만화","9.74"
"186","사서고생!","어른이 되고 싶어!","9.73"
"187","마법소년근무일지","","9.78"
"188","이루어지리다","청춘 성장 판타지","9.57"
"189","하이스쿨콤플렉스(마이동풍)","청춘로맨스","9.63"
"190","이딴여행","여행포토툰","9.75"
"191","너의여집합","네가 없는 세상","9.85"
"192","토마","의문의 전학생","9.40"
"193","미스터신데렐라","신데렐라가 남자라면","9.80"
"194","분노의난임일기","난임 정복 웹툰!","9.77"
"195","채채쓰의웃픈일기","왜 삶은 웃플까요?","9.88"
"196","행복을만드는방법","집착감금물","9.65"
"197","Agirllikealien","외계인 같은 소녀.","9.81"
"198","카나와초나의독일","독일 생존기","9.87"
"199","블루랜드","색을 잃고 살아남다","9.90"
"200","뼈의시간","병원 호러스릴러","9.77"
"201","할로윈이끝나기전에","매주 수요일 연재","9.88"
"202","찌의일찌","찌의데일리","9.71"
"203","가위바위보","지면 죽는다.","9.63"
"204","쓰레기성의소녀","만화 속 세상이야기","9.89"
"205","죽탱이","MMA 종합격투기","8.56"
"206","너와가까워지는거리","소프트BL","9.64"
"207","양송부부의맛있는한잔","술이 있는 일상","9.80"
"208","촌스러운그들","촌스러운 그들","9.65"
"209","하나리즈","레즈비언 커플이야기","8.83"
"210","음악의길","퓨전 뮤직 액션","9.32"
"211","원스인어블루문","초능력은 거들 뿐","9.78"
"212","뼈와재,불의이야기","월요일 현대 판타지","8.45"
"213","이래서애들은","다양한장르의 거짓말","9.88"
"214","엑스프렌즈","이별 사연 에피소드","9.84"
"215","맹랑맘마MEMORY","다시 쓰는 일기","9.84"
"216","베텔게우스","별과 시간과 사람","9.26"
"217","용사신드롬!","모험 로맨스 판타지","9.56"
"218","누루누루음식만화","음식 탐닉 일상툰","9.88"
"219","기억지도","한국근현대 SF물","9.42"
"220","일상중의일상툰","상중의 이상한 일상","9.19"
"221","브레인스톰","기억들의 배틀로얄","9.87"
"222","루이와졸개들R","나만알고싶은 양아치","9.77"
"223","용은범을잡아먹지않는다.","용과 싸우는 소년","9.71"
"224","우리집강아지는복슬강아지","댕댕이와의 일상:3","9.90"
"225","사는게이게모양?!","모양이와 일상생존기","9.77"
"226","모노톤책꽂이","로맨스 단편집","9.22"
"227","만월에핀연꽃","고려시대 사랑이야기","9.69"
"228","막장동화에어서오렴!(feat.동화원정대)","코믹 개그 막장동화","9.22"
"229","지몽,선너머의나","운명조작히어로","9.57"
"230","네펜데스","환경 판타지 스토리","9.23"
"231","망했다튀어라","만화","9.72"
"232","그래도하루는","희노애락 투병일기","9.88"
"233","말레이시아리스키씨","말레이시아 교민일기","9.89"
"234","오사와오폐수들","그냥 오사의 일상","9.93"
"235","고등학교수감기록","고삼은 존버한다","9.73"
"236","우리들의우상은","무한긍정도시 탈출기","9.84"
"237","파라웨이치킨","먼치킨알바들과사장","9.61"
"238","소소일기","소소한 일상","9.59"
"239","해결사","해결사를 하는 소년소녀의 일상물","9.88"
"240","달기알","달걀 닮아서 달기알.","9.88"
"241","여기서한잔할래?","수달의 혼술툰","9.71"
"242","괴물의바다","바다로 가는 이야기","9.89"
"243","에고인휴고","지킬 박사의 후손","9.65"
"244","디언더사이즈드(THEUNDERSIZED)","고등학교농구부이야기","9.52"
"245","이름없는나에게","윤하와 주변 이야기","9.10"
"246","서폿저택에어서오세요","서폿만 사는 저택","9.86"
"247","남의사랑이야기","조금 늦은 첫사랑","9.80"
"248","아이엠","파란만장아이돌라이프","9.58"
"249","점성술사","점쟁이들 이야기","9.60"
"250","정신과심리만화by팔호광장","알고싶니 마음","9.76"
"251","소울","코믹액션 더하기 환타지","8.93"
"252","리사이클","게임뒤에 숨은 비극","8.89"
"253","게임에접속했습니다!","게임하는 고딩들","9.76"
"254","DOOR","충격의 다크 판타지","9.82"
"255","루머의법칙","캠퍼스 로맨스","9.77"
"256","반오십부터그림일기","평범한 으른일기","9.84"
"257","전지적악녀시점","썸네일 주인공 아님","8.76"
"258","용사·마왕·우주인","낙제 용사 이야기","9.90"
"259","수영만화일기","저질체력,수영-하다","9.87"
"260","THE극한가장","네가족의 일상툰","9.76"
"261","제제와함께","장애아이와 형제","9.83"
"262","프레이","좀 매운 배틀물","9.77"
"263","힝구의견생일기","동네개들의견생라이프","9.90"
"264","천상열차분야지도","옥황상제와 별자리","9.87"
"265","모지리전","바보 무리 기록본","9.21"
"266","코엑시스트","로맨스 스릴러","8.98"
"267","범죄사냥꾼:9직전쟁","범죄를 사냥하는형사","9.59"
"268","착한남자김우진","20대 남자의이야기","8.68"
"269","자유의경계","감옥액션스릴러","9.80"
"270","피오키노","악마와 소년","9.61"
"271","신과의대화","즐거운 이야기","9.78"
"272","허니허니2-느리지만괜찮아","초보아빠 육아일기","9.89"
"273","내과박원장","의사가그린 의사만화","9.83"
"274","너와나의몰디브","30대 연애와 결혼","9.42"
"275","가상&RPG","가상현실 액션RPG","9.88"
"276","왕과나","세자는 여인이다.","9.71"
"277","일찍자고일찍일어나기","아침형 뱀파이어","9.90"
"278","로마의법칙","이태리 직장인 늘보","9.84"
"279","햇살주인공을악당으로키워버렸다","공주로 환생했다.","9.74"
"280","채똘일기","채똘일기","9.59"
"281","봄날의산보","봄날에 산보하듯","9.82"
"282","꽃이피는자리","기생 식물","9.67"
"283","문어숙희숙회","문어숙회를 위하여!","9.74"
"284","타이트엔드","미식축구 만화","9.44"
"285","귀염뽀짝애기뚱냥뽀냥이","귀염뽀짝한 애기뚱냥","9.83"
"286","사도신여랑傳","초 자유연재 입니다","9.49"
"287","FIX","타임리프호러","9.51"
"288","슈체나리움(Szenarium)","서막","9.02"
"289","츤데레","남정네 넷의 츤츤","9.87"
"290","청춘갱신","#사랑#우정#성장","9.71"
"291","래빗콤바치!","주짓떼라 생활툰","9.64"
